Screen,Key (PLEASE DON'T CHANGE),Description,en_GB translation,en_GB translation - NEW VERSION,Comments
,settings.permissions.next_button,"Duplicate text, may also be good to make global",Next Step,Next Step,
,settings.profiles.avatar.add.content,Create/edit profile flow ,let's create your BEAR,let's create your BEAR,
,settings.profiles.avatar.add.subtitle,,Welcome to \nthe BEAR world,Welcome to \nthe BEAR world,
,settings.profiles.avatar.button,,Save,Save,
,settings.profiles.avatar.choose_label,,Choose one,Choose one,
,settings.profiles.avatar.edit.content,,let's change your BEAR,let's change your BEAR,
,settings.profiles.avatar.edit.subtitle,,Welcome back to \nthe BEAR world,Welcome back to \nthe BEAR world,
,settings.profiles.avatar.title,,%character_name%,%character_name%,
,settings.profiles.button,,Profile Settings,Profile Settings,
,settings.profiles.name.add.content,,what's your name?,what's your name?,
,settings.profiles.name.add.title,,GRRREETINGS,GRRREETINGS,
,settings.profiles.name.button,,Next Step,Next Step,
,settings.profiles.name.edit.content,,what's your new name?,what's your new name?,
,settings.profiles.action_sheet.message,,What do you want to do with this profile?,What do you want to do with this profile?,
,settings.profiles.action_sheet.title,,Choose action,Choose action,
,settings.profiles.action_sheet.action.use_profile,,Use profile,Use profile,
,settings.profiles.action_sheet.action.edit_profile,,Edit profile,Edit profile,
,settings.profiles.action_sheet.action.delete_profile,,Delete profile,Delete profile,
,settings.profiles.action_sheet.alert.delete_last_profile.title,,Alert,Alert,
,settings.profiles.action_sheet.alert.delete_last_profile.message,,You cannot delete this profile because at least one active profile is required,You cannot delete this profile because at least one active profile is required.,
,settings.profiles.action_sheet.alert.delete_profile.title,,This will delete the profile for %profile_name%,This will delete the profile for %profile_name%,
,settings.profiles.action_sheet.alert.delete_profile.message,,Are you sure?,Are you sure?,
,settings.profiles.name.edit.title,Edit profile title,UPDATE PROFILE,UPDATE PROFILE,
,settings.profiles.selection.content,Settings main screen text and title,Change,Change,
,settings.profiles.selection.title,,PROFILES,PROFILES,
,settings.profiles.selection.usage_instructions,,"your unlocked cards are stored in a profile. Tap on a BEAR profile to switch to it, edit it or delete it","Your unlocked cards are stored in a profile. Tap a BEAR profile to switch, edit or delete it.",
,settings.sounds.button,,Sound effects,Sound effects,
,settings.sounds.dialog.content,,Play sounds?,Play sounds?,
,settings.sounds.dialog.title,,Sound Effects,Sound Effects,
,settings.title,,SETTINGS,SETTINGS,
Globals,shared.error,,Error,Error,
,shared.delete,,Delete,Delete,
,shared.cancel,,Cancel,Cancel,
,shared.banned_words,Reusable text across the whole app (common buttons like previous/next/yes/no. Banned words used for validation/filtering,"banned,bint,bitch,bloody,bugger,chav,cow,crap,damn,douche,douchebag,effing,feck,ginge,minger,pissed,sod,bastard,bellend,blood,bum,blud,dick,dickhead,shit,shite,twat,fuck,motherfucker,arse,balls,bawbag,choad,chode,ass,beaver,bollocks,clunge,dick,fanny,knob,minge,prick,pussy,snatch,tits,penis,vagina,cunt,gash,jap,punani,bang,frigging,ho,jizz,milf,shag,skank,slapper,spunk,tosser,wanker,whore,cocksucker,cum,nonce,jew,rape,slut,nazi,chinky,coon,ching,darky,gippo,golliwog,golly,negro,nig,paki,raghead,spade,spic,wog,yid,mincer,bender,bummer,fag,homo,lezza,ponce,poof,queer,gay,batty,butt,dyke,faggot,muff,shemale,tranny,cretin,div,moron,cripple,mong,retard,spastic,prince,savile,adolf,hitler","banned,bint,bitch,bloody,bugger,chav,cow,crap,damn,douche,douchebag,effing,feck,ginge,minger,pissed,sod,bastard,bellend,blood,bum,blud,dick,dickhead,shit,shite,twat,fuck,motherfucker,arse,balls,bawbag,choad,chode,ass,beaver,bollocks,clunge,dick,fanny,knob,minge,prick,pussy,snatch,tits,penis,vagina,cunt,gash,jap,punani,bang,frigging,ho,jizz,milf,shag,skank,slapper,spunk,tosser,wanker,whore,cocksucker,cum,nonce,jew,rape,slut,nazi,chinky,coon,ching,darky,gippo,golliwog,golly,negro,nig,paki,raghead,spade,spic,wog,yid,mincer,bender,bummer,fag,homo,lezza,ponce,poof,queer,gay,batty,butt,dyke,faggot,muff,shemale,tranny,cretin,div,moron,cripple,mong,retard,spastic,prince,savile,adolf,hitler",
,shared.buttons.next,,next,next,
,shared.buttons.no,,no,no,
,shared.buttons.previous,,previous,previous,
,shared.buttons.select,,select,select,
,shared.validation.field_required,,%field_name% cannot be empty,,
,shared.validation.email_invalid,,%field_name% must be a valid email,,
,shared.buttons.yes,,yes,yes,
Navigation,navigation.trophy_cabinet.tooltip,Tooltips navigation for a11y,Trophy Cabinet,Trophy Cabinet,
,navigation.home.tooltip,,Home,Home,
,navigation.settings.tooltip,,Settings,Settings,
Trophy Cabinet,trophy.reward.watch_again,,Watch again,Watch again,
,trophy.reward.complete,,Complete,Complete,
,trophy.rewards.error.complete_previous_parts_first,,Complete the previous parts of the reward first to access this,,New Copy
,trophy.rewards.locked_title,,%reward_name% is locked,,New Copy
,trophy.rewards.error.complete_previous_reward_first,,Complete the previous reward to be able to access this one,,
,trophy.reward.check_rewards,,Check my rewards,Check my rewards,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
